model,config,smote,merge,split_seed,init_seed,n_test_subjects,k_correct,subject_acc,subject_acc_ci_low,subject_acc_ci_high,subject_f1_macro,subject_auc_ovr_macro
data2vec,fullspec,True,True,42,3,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9828042328042329
data2vec,fullspec,True,True,42,4,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9828042328042329
data2vec,fullspec,True,True,42,5,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9828042328042329
data2vec,fullspec,True,True,42,6,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9828042328042329
data2vec,fullspec,True,True,42,7,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9828042328042329
data2vec,fullspec,True,True,42,8,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9828042328042329
data2vec,fullspec,True,True,42,9,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9828042328042329
data2vec,fullspec,True,True,42,10,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9828042328042329
data2vec,fullspec,True,True,42,11,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9907407407407408
data2vec,fullspec,True,True,42,12,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9828042328042329
data2vec,fullspec,True,True,42,13,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8380952380952381,0.9828042328042329
data2vec,fullspec,True,True,42,14,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9828042328042329
data2vec,fullspec,True,True,42,15,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9828042328042329
data2vec,fullspec,True,True,42,16,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9828042328042329
data2vec,fullspec,True,True,42,17,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9828042328042329
data2vec,fullspec,True,True,42,18,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9907407407407408
data2vec,fullspec,True,True,42,19,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8380952380952381,0.9828042328042329
data2vec,fullspec,True,True,42,20,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8380952380952381,0.9828042328042329
data2vec,fullspec,True,True,42,21,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8380952380952381,0.9828042328042329
data2vec,fullspec,True,True,42,22,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9828042328042329
data2vec,fullspec,True,True,42,23,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9907407407407408
data2vec,fullspec,True,True,42,24,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9828042328042329
data2vec,fullspec,True,True,42,25,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8380952380952381,0.9828042328042329
data2vec,fullspec,True,True,42,26,13,11,0.8461538461538461,0.5776536898051747,0.9567418216419188,0.8380952380952381,0.9828042328042329
data2vec,fullspec,True,True,42,27,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9828042328042329
data2vec,fullspec,True,True,42,28,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9828042328042329
data2vec,fullspec,True,True,42,29,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9267399267399267,0.9828042328042329
data2vec,last3,True,True,42,0,13,9,0.6923076923076923,0.42369343180549046,0.8731929634428949,0.6363636363636364,0.8828042328042328
data2vec,last3,True,True,42,1,13,9,0.6923076923076923,0.42369343180549046,0.8731929634428949,0.6363636363636364,0.9050264550264551
data2vec,last3,True,True,42,2,13,9,0.6923076923076923,0.42369343180549046,0.8731929634428949,0.6363636363636364,0.9050264550264551
data2vec,last3,True,True,42,3,13,9,0.6923076923076923,0.42369343180549046,0.8731929634428949,0.6363636363636364,0.893915343915344
data2vec,last3,True,True,42,4,13,9,0.6923076923076923,0.42369343180549046,0.8731929634428949,0.6363636363636364,0.9161375661375661
data2vec,last3,True,True,42,5,13,9,0.6923076923076923,0.42369343180549046,0.8731929634428949,0.6363636363636364,0.9050264550264551
