utt_type,do_downsample,do_smote,split_seed,init_seed,test_acc,macro_f1,macro_auc,subject_acc,subject_f1,subject_auc
C,True,True,42,4,0.7437500152736902,0.7279536111890756,0.8980360243055556,0.8461538461538461,0.8215488215488215,0.9777777777777779
C,True,True,42,5,0.7736111246049404,0.7633358764196664,0.9132703993055555,0.9230769230769231,0.9220779220779222,0.9888888888888889
C,True,True,42,6,0.7145833503454924,0.6959013021792972,0.8753349247685186,0.8461538461538461,0.8215488215488215,0.96984126984127
C,True,True,42,7,0.7361111268401146,0.7216829269504418,0.8919223813657408,0.9230769230769231,0.9220779220779222,0.96984126984127
C,True,True,42,8,0.7506944593042135,0.7325563142692788,0.8922779224537036,0.8461538461538461,0.8215488215488215,0.9587301587301588
C,True,True,42,9,0.7381944600492716,0.7210114744217423,0.8903993055555555,0.8461538461538461,0.8215488215488215,0.9507936507936509
C,True,True,42,10,0.7381944600492716,0.7237691891454586,0.8921506076388889,0.9230769230769231,0.9220779220779222,0.96984126984127
C,True,True,42,11,0.7493055704981089,0.735033295783505,0.9010290075231482,0.9230769230769231,0.9220779220779222,0.96984126984127
C,True,True,42,12,0.7486111260950565,0.7306223263151866,0.9028602430555557,0.9230769230769231,0.9076923076923077,1.0
C,True,True,42,13,0.7500000149011612,0.7328294364948654,0.8898433883101852,0.8461538461538461,0.8215488215488215,0.96984126984127
C,True,True,42,14,0.7229166831821203,0.7006260378645089,0.8798253038194445,0.7692307692307693,0.7074074074074074,0.96984126984127
C,True,True,42,15,0.7409722376614809,0.7247410540294158,0.8814033564814815,0.8461538461538461,0.8215488215488215,0.96984126984127
C,True,True,42,16,0.7326389048248529,0.7142379454915831,0.8806937210648148,0.8461538461538461,0.8215488215488215,0.9777777777777779
C,True,True,42,17,0.709722239524126,0.6875386990307336,0.8645601851851853,0.7692307692307693,0.7074074074074074,0.96984126984127
C,True,True,42,18,0.748611125163734,0.7378489586006509,0.8971317997685185,0.9230769230769231,0.9220779220779222,0.9888888888888889
C,True,True,42,19,0.7500000149011612,0.7411452011822409,0.8992603443287037,0.9230769230769231,0.9220779220779222,0.9587301587301588
C,True,True,42,20,0.7583333477377892,0.7457357682546594,0.9033991608796296,0.9230769230769231,0.8962962962962964,0.9888888888888889
C,True,True,42,21,0.7451389040797949,0.7262222891182931,0.8807841435185185,0.8461538461538461,0.8215488215488215,0.96984126984127
C,True,True,42,22,0.7555555701255798,0.7370368159087964,0.9080421730324075,0.9230769230769231,0.9220779220779222,0.96984126984127
C,True,True,42,23,0.7375000156462193,0.7187467429652252,0.8970970775462964,0.8461538461538461,0.8215488215488215,0.9587301587301588
C,True,True,42,24,0.7520833481103182,0.74148060569271,0.9007139756944443,0.9230769230769231,0.9220779220779222,0.96984126984127
C,True,True,42,25,0.7319444604218006,0.7039503114987132,0.8885127314814815,0.8461538461538461,0.8215488215488215,0.96984126984127
C,True,True,42,26,0.7388889035210013,0.7181210153906538,0.8912915943287038,0.9230769230769231,0.8962962962962964,0.9777777777777779
C,True,True,42,27,0.7368055712431669,0.720789951234276,0.8732208478009259,0.9230769230769231,0.9076923076923077,0.9888888888888889
C,True,True,42,28,0.7402777932584286,0.7238712388224734,0.9080953414351852,0.9230769230769231,0.9220779220779222,0.96984126984127
C,True,True,42,29,0.7722222357988358,0.7564046873926568,0.9056322337962963,0.8461538461538461,0.8333333333333334,0.96984126984127
W,True,True,42,0,0.8215277884155512,0.8178183071424732,0.9516579861111111,0.9230769230769231,0.8962962962962964,1.0
W,True,True,42,1,0.8076389003545046,0.8049091034116286,0.9427423321759258,1.0,1.0,1.0
W,True,True,42,2,0.8395833428949118,0.8375106669208777,0.9578190104166665,0.9230769230769231,0.8962962962962964,1.0
W,True,True,42,3,0.8388888984918594,0.8370756421562479,0.9602886284722222,1.0,1.0,1.0
W,True,True,42,4,0.8541666753590107,0.8499155254771001,0.9660908564814815,1.0,1.0,1.0
W,True,True,42,5,0.8562500085681677,0.8552108536910813,0.9669654224537036,1.0,1.0,1.0
W,True,True,42,6,0.7993055675178766,0.7920297763112346,0.9568265335648148,0.9230769230769231,0.8962962962962964,1.0
W,True,True,42,7,0.8125000111758709,0.8089603733130538,0.941652199074074,1.0,1.0,1.0
W,True,True,42,8,0.8472222313284874,0.8446587969575655,0.9638064236111111,1.0,1.0,1.0
W,True,True,42,9,0.8111111223697662,0.8052852330546377,0.9599001736111111,1.0,1.0,1.0
W,True,True,42,10,0.8263888992369175,0.8243101520630383,0.951310402199074,1.0,1.0,1.0
W,True,True,42,11,0.8305555656552315,0.8262316647396032,0.9540603298611111,1.0,1.0,1.0
W,True,True,42,12,0.8215277884155512,0.8160824520030511,0.9506177662037038,1.0,1.0,1.0
W,True,True,42,13,0.8458333425223827,0.8445731788955325,0.9577032696759259,1.0,1.0,1.0
W,True,True,42,14,0.8416666761040688,0.8393583201943783,0.9559006076388888,1.0,1.0,1.0
W,True,True,42,15,0.8277777880430222,0.823769021124622,0.951625072337963,1.0,1.0,1.0
